MSZoning,GrLivArea,Utilities,OverallQual,YearBuilt,TotalBsmtSF,Heating,HeatingQC,CentralAir,FullBath,BedroomAbvGr,KitchenAbvGr,GarageCars,PoolArea,SalePrice
RM,1192,AllPub,5,1920,596,GasA,TA,N,1,3,1,1,0,78000
RL,1728,AllPub,5,1964,1728,GasA,TA,Y,2,6,2,1,0,119000
RL,1056,AllPub,5,1958,1056,GasA,Fa,Y,1,3,1,1,0,139000
RL,1629,AllPub,8,2003,3206,GasA,Ex,Y,2,3,1,3,0,284000
RM,1358,AllPub,7,2004,1358,GasA,Ex,Y,2,2,1,2,0,207000
RL,1638,AllPub,6,1998, ,GasA,Gd,Y,2,3,1,2,0,192000
RL,1786,AllPub,5,1965, ,GasA,Ex,Y,2,3,1,2,0,228950
RL,1922,AllPub,9,2005,1922,GasA,Ex,Y,2,3,1,3,0,377426
RL,1536,AllPub,7,2002,1536,GasA,Ex,Y,2,3,1,2,0,214000
RL,1621,AllPub,7,1984, ,GasA,Ex,Y,2,3,1,2,0,202500
RL,1215,AllPub,6,1958,1215,GasA,TA,Y,1,3,1,1,0,155000
RL,1908,AllPub,8,2002,967,GasA,Ex,Y,2,4,1,2,0,202900
RH,841,AllPub,4,1950,721,GasA,Gd,Y,1,2,1,1,0,82000
RL,1040,AllPub,3,1949,0,Wall,Fa,N,2,2,2,2,0,87500
RL,1684,AllPub,9,2005,1684,GasA,Ex,Y,2,2,1,2,0,266000
RM,1112,AllPub,5,1976,536,GasA,TA,Y,1,3,1,1,0,85000
RL,1577,AllPub,6,1939,972,GasA,Gd,Y,1,3,1,1,0,140200
RL,958,AllPub,6,1960,958,GasA,TA,Y,1,2,1,1,0,151500
RL,1478,AllPub,6,1960,1478,GasA,Ex,Y,2,3,1,2,0,157500
RL,1626,AllPub,7,2003,764,GasA,,Y,2,2,1,2,0,154000
RL,2728,AllPub,9,2005,1848,GasA,Ex,Y,2,4,1,3,0,437154
RL,1869,AllPub,9,2007,1869,GasA,Ex,Y,2,2,1,2,0,318061
RL,1453,AllPub,7,1986,1453,GasA,Gd,Y,1,2,1,2,0,190000
RL,1111,AllPub,5,1941,616,GasA,TA,N,1,3,1,1,0,95000
RM,720,AllPub,6,1928,624,GasA,,Y,1,2,1,2,0,105900
RL,1595,AllPub,6,1940,940,GasA,Ex,Y,1,2,1,1,0,140000
RL,1200,AllPub,6,1995,1200,GasA,Ex,Y,2,3,1,2,0,177500
RL,1167,AllPub,6,1992,1158,GasA,Gd,Y,2,3,1,2,0,173000
RM,1142,AllPub,5,1976,1142,GasA,TA,Y,1,3,1,2,0,134000
RL,1352,AllPub,5,1958,1062,GasA,Ex,Y,1,3,1,1,0,130000
RL,1924,AllPub,8,1998,1086,GasA,Ex,Y,2,3,1,2,0,280000
RL,912,AllPub,6,1978,888,GasA,Ex,Y,1,2,1,2,0,156000
RL,1505,AllPub,5,1940,883,GasA,Gd,Y,1,3,1,1,0,145000
RL,1922,AllPub,7,2003,0,GasA,Ex,Y,3,4,1,2,0,198500
RM,987,AllPub,6,1972,483,GasA,Gd,Y,1,2,1,1,0,118000
RL,1574,AllPub,6,1976,796,GasA,TA,Y,2,3,1,2,0,190000
RM,1344,AllPub,5,1920,672,GasA,Gd,Y,1,3,1,1,0,147000
RL,1394,AllPub,6,1963,1394,GasA,Gd,Y,1,3,1,2,0,159000
RL,1431,AllPub,6,1962,1099,GasA,Gd,Y,1,3,1,1,0,165000
RL,1268,AllPub,5,1954,1268,GasA,Gd,Y,1,2,1,1,0,132000
RL,1287,AllPub,5,1959,1063,GasA,Ex,Y,1,3,1,2,0,162000
RL,1664,AllPub,6,2000,953,GasA,Ex,Y,2,3,1,2,0,172400
RL,1588,AllPub,4,1959,0,GasA,,Y,2,4,1,2,0,134432
RL,752,AllPub,6,1984,744,GasA,TA,Y,1,2,1,1,0,125000
RL,1319,AllPub,5,1953,608,GasA,TA,Y,1,3,1,1,0,123000
RL,1928,AllPub,7,2003,847,GasA,Ex,Y,2,4,1,2,0,219500
RL,904,AllPub,1,1922,683,GasA,Gd,N,0,1,1,0,0,61000
RL,914,AllPub,5,1996,870,GasA,Ex,Y,1,2,1,2,0,148000
FV,2466,AllPub,8,2004,1580,GasA,Ex,Y,3,4,1,2,0,340000
RL,1856,AllPub,9,2010,1856,GasA,Ex,Y,1,1,1,3,0,394432
RL,1800,AllPub,6,2000,982,GasA,Ex,Y,2,3,1,2,0,179000
RL,1691,AllPub,5,1924,1026,GasA,TA,Y,2,3,1,1,0,127000
FV,1301,AllPub,7,2006,1293,GasA,Ex,Y,2,2,1,2,0,187750
RL,1797,AllPub,7,2006,939,GasA,Ex,Y,2,3,1,2,0,213500
RH,784,AllPub,6,1928,784,GasA,TA,N,1,2,1,2,0,76000
RL,1953,AllPub,6,1992,1580,GasA,Ex,Y,2,3,1,2,0,240000
RL,1269,AllPub,8,2004, ,GasA,Ex,Y,2,2,1,2,0,192000
RL,1184,AllPub,5,1910, ,GasA,TA,Y,1,5,1,0,0,81000
RL,1125,AllPub,6,1976,1041,GasA,Ex,Y,1,3,1,1,0,125000
RL,1479,AllPub,7,1999,1468,GasA,Ex,Y,2,3,1,2,0,191000
RL,2332,AllPub,10,2007,1682,GasA,Ex,Y,2,3,1,3,0,426000
RL,1367,AllPub,5,1900, ,GasA,Ex,Y,1,4,1,1,0,119000
RL,1961,AllPub,6,2001,804,GasA,Ex,Y,2,3,1,2,0,215000
RL,882,AllPub,5,1959,0,GasA,TA,Y,1,3,1,1,0,106500
RL,788,AllPub,4,1941,788,GasA,TA,Y,1,2,1,0,0,100000
RL,1034,AllPub,5,1940,735,GasA,Gd,Y,1,2,1,1,0,109000
RL,1144,AllPub,5,1956,1144,GasA,TA,Y,1,3,1,1,0,129000
RL,894,AllPub,5,1972,894,GasA,TA,Y,1,2,1,2,0,123000
RL,1812,AllPub,5,1962,864,GasA,TA,Y,2,4,1,1,0,169500
RM,1077,AllPub,5,1920,961,GasA,Gd,Y,1,2,1,1,0,67000
FV,1550,AllPub,7,2006,1092,GasA,Ex,Y,2,2,1,2,0,241000
RL,1288,AllPub,8,1996,1260,GasA,Ex,Y,1,1,1,2,0,245500
RL,1310,AllPub,7,2005,1310,GasA,Ex,Y,2,3,1,2,0,164990
RL,672,AllPub,5,1940,672,GasA,Ex,Y,1,2,1,1,0,108000
RL,2263,AllPub,8,1998,1141,GasA,Gd,Y,2,4,1,2,0,258000
RL,1572,AllPub,6,1995,806,GasA,Gd,Y,2,3,1,2,0,168000
RL,1620,AllPub,4,1976,1281,GasA,Ex,Y,2,3,1,2,0,150000
RL,1639,AllPub,6,1936,1064,GasA,Ex,Y,1,3,1,1,0,115000
RL,1680,AllPub,6,1915,840,GasA,Ex,Y,2,4,1,1,0,177000
RL,2172,AllPub,7,2006,1063,GasA,Ex,Y,2,3,1,3,0,280000
FV,2078,AllPub,8,2007,1034,GasA,Ex,Y,2,3,1,3,0,339750
RL,1276,AllPub,5,1958,1276,GasA,TA,Y,1,3,1,1,0,60000
RL,1056,AllPub,5,1955,1056,GasA,TA,N,1,3,1,2,0,145000
FV,1478,AllPub,7,2009,1470,GasA,Ex,Y,2,2,1,2,0,222000
RM,1028,AllPub,5,1927,1008,GasA,Gd,Y,1,2,1,2,0,115000
RL,2097,AllPub,7,1993,1080,GasA,Ex,Y,2,3,1,3,0,228000
RL,1340,AllPub,7,2007,1340,GasA,,Y,2,3,1,2,0,181134
RL,1400,AllPub,6,1978,672,GasA,TA,Y,1,3,1,2,0,149500
RL,2624,AllPub,6,1918,1370,GasW,TA,N,2,4,1,3,0,239000
RL,1134,AllPub,5,1940,756,GasA,Fa,N,1,3,1,1,0,126000
RL,1056,AllPub,5,1968,1056,GasA,Ex,Y,1,3,1,1,0,142000
RM,1344,AllPub,7,1997,1344,GasA,Ex,Y,2,2,2,4,0,206300
RL,1602,AllPub,6,1977,1602,GasA,Gd,Y,2,3,1,2,0,215000
RL,988,AllPub,5,1954,988,GasA,Ex,Y,1,2,1,2,0,113000
RL,2630,AllPub,8,1998,1470,GasA,,Y,2,4,1,3,0,315000
RL,1196,AllPub,6,1956,1196,GasA,,Y,1,2,1,1,0,139000
RM,1389,AllPub,7,1946,651,GasA,Gd,Y,1,3,1,1,0,135000
RL,1644,AllPub,7,1989,1518,GasA,,Y,2,2,1,2,0,275000
RL,907,AllPub,4,1957,907,GasA,Ex,Y,1,3,1,1,0,109008
RL,1208,AllPub,7,2007,1208,GasA,Ex,Y,2,2,1,2,0,195400
RL,1412,AllPub,6,1988,1392,GasA,TA,Y,2,3,1,2,0,175000
RM,987,AllPub,6,1971,483,GasA,TA,Y,1,2,1,1,0,85400
RM,1198,AllPub,6,1920,901,GasA,Gd,Y,1,4,1,0,0,79900
RM,1365,AllPub,5,1971,765,GasA,Ex,Y,1,2,1,2,0,122500
RL,1604,AllPub,6,1997,926,GasA,Ex,Y,2,3,1,2,0,181000
RM,630,AllPub,4,1972,630,GasA,Gd,Y,1,1,1,0,0,81000
RL,1661,AllPub,7,1996,799,GasA,Ex,Y,2,3,1,2,0,212000
RM,1118,AllPub,6,1920,648,GasA,TA,Y,1,2,1,2,0,116000
RM,904,AllPub,6,1926,884,GasA,Gd,Y,1,2,1,1,0,119000
RL,694,AllPub,5,1913,440,GasA,TA,N,1,2,1,1,0,90350
RL,1196,AllPub,6,1920,684,GasA,Gd,Y,1,3,1,2,0,110000
RL,2402,AllPub,10,2008,3094,GasA,Ex,Y,2,2,1,3,0,555000
RL,1440,AllPub,4,1955,1440,GasA,TA,N,2,4,2,0,0,118000
RM,1573,AllPub,5,1930,1078,GasA,TA,Y,2,3,1,2,0,162900
RL,1258,AllPub,7,2006,1258,GasA,Ex,Y,2,2,1,3,0,172500
RL,1908,AllPub,7,1994,915,GasA,Ex,Y,2,4,1,2,0,210000
RL,1689,AllPub,6,1956,1436,GasA,Fa,Y,1,3,1,2,0,127500
RL,1888,AllPub,6,1966,1517,GasA,Ex,Y,2,2,1,2,0,190000
RL,1886,AllPub,7,1998,930,GasA,Gd,Y,2,4,1,2,0,199900
RM,1376,AllPub,6,1937,780,GasA,,Y,2,3,1,1,0,119500
RM,1183,AllPub,3,1948,649,GasA,,Y,1,2,1,1,0,120000
RM,813,AllPub,6,1930,813,GasA,Ex,Y,1,2,1,1,0,110000
RL,1533,AllPub,7,1975, ,GasA,TA,Y,2,2,1,2,0,280000
RL,1756,AllPub,6,1996,872,GasA,Ex,Y,2,3,1,2,0,204000
FV,1590,AllPub,8,2008,768,GasA,Ex,Y,2,3,1,2,0,210000
RL,1728,AllPub,5,1976,1728,GasA,TA,Y,2,4,2,2,0,188000
RL,1242,AllPub,7,1973,1242,GasA,Fa,Y,1,3,1,2,0,175500
RM,1344,AllPub,5,1916,624,GasA,Fa,N,1,4,1,3,0,98000
RL,1663,AllPub,4,1954,1364,GasA,Ex,Y,1,2,1,2,0,256000
RM,1666,AllPub,8,1925,588,GasA,Fa,Y,1,3,1,1,0,161000
RL,1203,AllPub,5,1950,709,GasA,TA,Y,1,3,1,1,0,110000
FV,1935,AllPub,8,2009,832,GasA,Ex,Y,2,3,1,2,0,263435
RL,1135,AllPub,7,1936,560,GasA,Ex,Y,1,3,1,2,0,155000
RL,864,AllPub,5,1965,864,GasA,Gd,Y,1,3,1,1,0,62383
RL,1660,AllPub,6,1934,715,GasA,Fa,Y,1,3,1,1,0,188700
RL,1040,AllPub,5,1978,1040,GasA,TA,Y,2,3,1,0,0,124000
RM,1414,AllPub,7,2004, ,GasA,Ex,Y,2,2,1,2,0,178740
RL,1277,AllPub,7,1970,1277,GasA,TA,Y,1,2,1,2,0,167000
RL,1644,AllPub,5,1942,728,GasA,Ex,Y,1,3,1,1,0,146500
RL,1634,AllPub,8,2006,1626,GasA,Ex,Y,2,3,1,3,0,250000
RL,1710,AllPub,6,1993,832,GasA,Ex,Y,2,3,1,2,0,187000
RL,1502,AllPub,8,1985,1488,GasA,TA,Y,1,1,1,2,0,212000
RL,1969,AllPub,7,1977,808,GasA,TA,Y,2,3,1,2,0,190000
RM,1072,AllPub,6,2005,547,GasA,Ex,Y,1,2,1,2,0,148000
RL,1976,AllPub,8,2006,1976,GasA,Ex,Y,2,2,1,3,0,440000
RL,1652,AllPub,8,2000,1494,GasA,Ex,Y,2,2,1,2,0,251000
RL,970,AllPub,5,1963,970,GasA,TA,Y,1,2,1,2,0,132500
RL,1493,AllPub,6,1997, ,GasA,Ex,Y,2,3,1,2,0,208900
RL,2643,AllPub,9,2006,2153,GasA,Ex,Y,2,3,1,3,0,380000
RL,1718,AllPub,8,2007,1705,GasA,Ex,Y,2,3,1,3,0,297000
RM,1131,AllPub,4,1937,907,GasA,TA,Y,1,2,1,2,0,89471
RL,1850,AllPub,9,2004,1833,GasA,Ex,Y,2,3,1,3,0,326000
RL,1792,AllPub,9,2003,1792,GasA,Ex,Y,2,2,1,3,0,374000
RM,1826,AllPub,7,1915,910,GasA,Ex,Y,1,4,1,1,0,155000
RM,1216,AllPub,6,1998,1216,GasA,,Y,2,2,1,2,0,164000
RL,999,AllPub,5,1962,999,GasA,Gd,Y,1,3,1,1,0,132500
RL,1113,AllPub,5,1950,1113,GasA,Gd,Y,1,3,1,1,0,147000
RL,1073,AllPub,5,1965,1073,GasA,TA,Y,1,3,1,2,0,156000
RL,1484,AllPub,5,1971,1484,GasA,Gd,Y,2,3,1,2,0,175000
RL,2414,AllPub,5,1900,954,GasA,TA,N,2,3,2,2,0,160000
RM,630,AllPub,4,1970,630,GasA,TA,Y,1,1,1,1,0,86000
RM,1304,AllPub,5,1976,264,GasA,TA,Y,1,3,1,1,0,115000
RL,1578,AllPub,6,1941,806,GasA,TA,Y,1,3,1,1,0,133000
RL,1456,AllPub,6,2006,728,GasA,Gd,Y,2,3,1,2,0,172785
RL,1269,AllPub,5,1960,1269,GasA,TA,Y,1,3,1,1,0,155000
RM,886,AllPub,5,1938,190,GasA,Gd,Y,1,2,1,1,0,91300
C (all),720,AllPub,4,1920,720,GasA,TA,N,1,2,1,0,0,34900
RL,3228,AllPub,8,1992,3200,GasA,Ex,Y,3,4,1,2,0,430000
RL,1820,AllPub,7,1925,1026,GasA,Ex,Y,2,4,1,1,0,184000
RL,899,AllPub,5,1967,864,GasA,Ex,Y,1,3,1,1,0,130000
RL,912,AllPub,5,1958,912,GasA,Fa,Y,1,2,1,1,0,120000
RM,1218,AllPub,6,1973,672,GasA,TA,Y,1,3,1,1,0,113000
FV,1768,AllPub,7,2005,866,GasA,Gd,Y,2,3,1,2,0,226700
RL,1214,AllPub,5,1965,1214,GasA,,Y,1,2,1,2,0,140000
RL,1801,AllPub,7,1959,1501,GasA,TA,Y,2,1,1,2,0,289000
RL,1322,AllPub,6,1974,855,GasA,TA,Y,2,3,1,2,0,147000
RM,1960,AllPub,5,1952,960,GasA,Gd,Y,2,4,2,2,0,124500
RL,1911,AllPub,8,1993,777,GasA,Ex,Y,2,3,1,2,0,215000
FV,1218,AllPub,6,2009,1218,GasA,Ex,Y,2,2,1,2,0,208300
RM,1378,AllPub,7,1928,689,GasA,Ex,Y,2,3,1,2,0,161000
RL,1041,AllPub,5,1959,1041,GasA,Ex,Y,1,3,1,1,0,124500
RL,1363,AllPub,5,1951, ,GasA,Ex,Y,1,2,1,1,0,164900
RL,1368,AllPub,7,2005,1368,GasA,Ex,Y,2,2,1,2,0,202665
RL,864,AllPub,5,1958,864,GasA,TA,Y,1,3,1,2,0,129900
RL,1080,AllPub,6,1983,1084,GasA,TA,Y,1,3,1,2,0,134000
RL,789,AllPub,5,1926,768,Grav,Fa,N,1,2,1,1,0,96500
RL,2020,AllPub,10,2009,2006,GasA,Ex,Y,2,3,1,3,0,402861
RL,2119,AllPub,6,1972,689,GasA,TA,Y,2,3,1,2,0,158000
RL,2344,AllPub,7,1996,1264,GasA,Ex,Y,2,3,1,3,0,265000
RL,1796,AllPub,6,1998,794,GasA,Ex,Y,2,3,1,2,0,211000
RL,2080,AllPub,7,1926,1276,GasA,Ex,Y,1,3,1,1,0,234000
RL,1294,AllPub,4,1900,0,GasA,TA,N,2,3,2,0,0,106250
RL,1244,AllPub,6,1957,1244,GasA,Ex,Y,1,3,1,1,0,150000
RM,1664,AllPub,6,1947,1004,GasA,Ex,Y,2,3,1,2,0,159000
RL,4676,AllPub,10,2007,3138,GasA,Ex,Y,3,3,1,3,0,184750
RL,2398,AllPub,7,1996,1379,GasA,Ex,Y,2,3,1,3,0,315750
FV,1266,AllPub,7,2005,1257,GasA,,Y,2,3,1,2,0,176000
RL,928,AllPub,5,1956,928,GasA,TA,Y,1,2,1,1,0,132000
RL,2713,AllPub,9,2008, ,GasA,Ex,Y,2,3,1,3,0,446261
RL,605,AllPub,4,1920,528,GasA,Ex,Y,1,2,1,0,0,86000
RL,2515,AllPub,6,1957,2035,GasA,TA,Y,3,4,2,2,0,200624
RL,1509,AllPub,6,1988,1461,GasA,Ex,Y,2,3,1,2,0,175000
RM,1362,AllPub,6,1920,611,GasA,Ex,Y,2,3,1,2,0,128000
RL,827,AllPub,5,1955,0,GasA,Ex,Y,1,2,1,1,0,107500
RL,334,AllPub,1,1946,0,GasA,Fa,N,1,1,1,0,0,39300
RL,1414,AllPub,8,2004,707,GasA,Ex,Y,2,3,1,2,0,178000
RL,1347,AllPub,5,1910,1117,GasA,TA,Y,1,3,1,0,0,107500
RL,1724,AllPub,7,1998,880,GasA,Ex,Y,2,3,1,2,0,188000
RL,864,AllPub,4,1972,864,GasA,TA,Y,1,3,1,2,0,111250
RL,1159,AllPub,5,1968,1051,GasA,TA,Y,1,3,1,1,0,158000
RL,1601,AllPub,8,2001,1581,GasA,Ex,Y,2,3,1,2,0,272000
RL,1838,AllPub,9,2006,1838,GasA,Ex,Y,2,2,1,3,0,315000
RL,2285,AllPub,8,2000,969,GasA,,Y,2,4,1,3,0,248000
RL,1680,AllPub,7,1998,1650,GasA,Ex,Y,2,3,1,2,0,213250
RH,767,AllPub,7,1998,723,GasA,Ex,Y,1,1,1,1,0,133000
RL,1496,AllPub,7,2006,654,GasA,Ex,Y,2,3,1,2,0,179665
RL,2183,AllPub,7,1988,1204,GasA,Gd,Y,2,4,1,3,0,229000
RL,1635,AllPub,6,1923,1065,GasA,Ex,Y,1,3,1,2,0,210000
RL,768,AllPub,5,1970,768,GasA,Ex,Y,1,2,1,2,0,129500
RM,825,AllPub,5,1955,825,GasA,,Y,1,2,1,2,0,125000
FV,2094,AllPub,7,2003,912,GasA,Ex,Y,2,4,1,2,0,263000
RL,1069,AllPub,6,1977,1069,GasA,,Y,2,2,1,2,0,140000
RM,928,AllPub,5,1957,928,GasA,Gd,Y,1,3,1,1,0,112500
RL,1717,AllPub,8,2006,1709,GasA,Ex,Y,2,3,1,3,0,255500
RL,1126,AllPub,4,1949,0,GasA,Ex,Y,2,2,1,2,0,108000
RL,2046,AllPub,7,2003,998,GasA,Ex,Y,2,3,1,3,0,284000
RM,1048,AllPub,5,1922,993,GasA,TA,Y,1,2,1,1,0,113000
RL,1092,AllPub,5,1957,1092,GasA,TA,Y,1,2,1,1,0,141000
C (all),1336,AllPub,4,1920,637,GasA,Gd,Y,1,3,1,1,0,108000
RL,1446,AllPub,7,1996,729,GasA,Ex,Y,2,3,1,2,0,175000
RL,1557,AllPub,7,2003,1374,GasA,Ex,Y,2,2,1,2,0,234000
RL,1392,AllPub,5,1957,1392,GasA,TA,Y,1,3,1,2,0,121500
RL,1389,AllPub,5,1974,1389,GasA,Gd,Y,1,2,1,2,0,170000
RL,996,AllPub,5,1940,996,GasA,Ex,Y,1,3,1,0,0,108000
RL,1674,AllPub,6,1918,1163,GasA,Ex,Y,2,4,1,2,0,185000
RL,2295,AllPub,7,1992,1095,GasA,Ex,Y,2,4,1,2,0,268000
RL,1647,AllPub,6,1915,806,GasA,TA,N,1,4,1,1,0,128000
RL,2504,AllPub,9,2005,1122,GasA,Ex,Y,2,4,1,3,0,325000
RL,1535,AllPub,7,2004,1517,GasA,,Y,2,3,1,2,0,214000
RL,2132,AllPub,8,1983,1496,GasA,Ex,Y,1,1,1,2,0,316600
RL,943,AllPub,5,1979,943,GasA,TA,Y,1,2,1,2,0,135960
RL,1728,AllPub,5,1965,1728,GasA,TA,Y,2,6,2,2,0,142600
RL,864,AllPub,6,1959,864,GasA,Ex,Y,1,2,1,1,0,120000
RL,1692,AllPub,7,2009,846,GasA,Gd,Y,2,3,1,2,0,224500
RL,1430,AllPub,7,2000,384,GasA,Ex,Y,2,3,1,2,0,170000
RL,1109,AllPub,5,1971,372,GasA,TA,Y,1,3,1,1,0,139000
RL,1216,AllPub,5,1947,832,GasA,,Y,1,2,1,1,0,118500
RL,1477,AllPub,7,1928,861,GasA,Gd,Y,2,3,1,1,0,145000
RL,1320,AllPub,5,1966,1164,GasA,Ex,Y,1,3,1,2,0,164500
FV,1392,AllPub,7,2007,689,GasA,Ex,Y,2,2,1,2,0,146000
RM,1795,AllPub,5,1954,1050,GasA,,N,2,4,1,1,0,131500
RL,1429,AllPub,6,1960,1144,GasA,Ex,Y,1,3,1,2,0,181900
RL,2042,AllPub,8,2008,2042,GasA,Ex,Y,2,3,1,3,0,253293
RL,816,AllPub,6,1990,816,GasA,TA,Y,1,3,1,0,0,118500
RM,2775,AllPub,10,1893,1237,GasA,Gd,Y,3,3,1,2,0,325000
RM,1573,AllPub,4,1935,884,GasA,Ex,Y,1,3,1,1,0,133000
RL,2028,AllPub,8,2005,1868,GasA,Ex,Y,2,2,1,3,0,369900
RL,838,AllPub,6,1918,816,GasA,Ex,Y,1,2,1,1,0,130000
RL,860,AllPub,5,1982,840,GasA,TA,Y,1,2,1,2,0,137000
RL,1473,AllPub,5,1968,1437,GasA,,Y,1,1,1,1,0,143000
RM,935,AllPub,5,1930,742,GasA,TA,Y,1,2,1,1,0,79500
RL,1582,AllPub,7,2004,770,GasA,Ex,Y,2,3,1,2,0,185900
RL,2296,AllPub,10,2008,1722,GasA,Ex,Y,2,3,1,3,0,451950
RL,816,AllPub,5,1982,816,GasA,Ex,Y,1,2,1,2,0,138000
RM,848,AllPub,6,2003,848,GasA,Ex,Y,1,1,1,2,0,140000
RL,924,AllPub,5,1975,924,GasA,TA,Y,1,3,1,1,0,110000
RL,1826,AllPub,8,2005,1814,GasA,Ex,Y,2,3,1,3,0,319000
RM,1368,AllPub,6,1910,684,GasA,Ex,N,1,3,1,1,0,114504
RL,1402,AllPub,7,2006, ,GasA,Ex,Y,0,2,1,3,0,194201
RL,1647,AllPub,5,1977,1430,GasA,Ex,Y,2,3,1,2,0,217500
RM,1556,AllPub,6,1980,716,GasA,TA,Y,2,3,1,2,0,151000
RL,1904,AllPub,8,2005,1058,GasA,Ex,Y,2,3,1,2,0,275000
RM,1375,AllPub,6,1937,780,GasA,TA,Y,1,3,1,1,0,141000
RL,1915,AllPub,8,1992,908,GasA,Ex,Y,2,3,1,2,0,220000
FV,1200,AllPub,7,2004,600,GasA,Ex,Y,2,2,1,2,0,151000
RL,1494,AllPub,7,2002,1494,GasA,Ex,Y,2,3,1,2,0,221000
RL,1986,AllPub,7,1965,768,GasA,,Y,2,3,1,2,0,205000
RL,1040,AllPub,5,1996,1040,GasA,Gd,Y,1,3,1,2,0,152000
RL,2008,AllPub,5,1948,896,GasA,Ex,Y,3,3,1,1,0,225000
RL,3194,AllPub,8,1934,965,GasA,TA,Y,2,4,1,2,0,359100
RL,1029,AllPub,4,1961,1029,GasA,Gd,Y,1,3,1,1,0,118500
RL,2153,AllPub,9,2000,1440,GasA,Ex,Y,2,3,1,3,0,313000
RL,1032,AllPub,6,1978,1032,GasA,TA,Y,2,3,1,2,0,148000
RL,1872,AllPub,8,2001,1299,GasA,Ex,Y,2,3,1,2,0,261500
RL,1120,AllPub,5,2007,1120,GasA,Ex,Y,1,3,1,0,0,147000
RM,630,AllPub,4,1972,630,GasA,,Y,1,1,1,0,0,75500
RL,1054,AllPub,6,1963,936,GasA,Ex,Y,1,3,1,2,0,137500
RL,1509,AllPub,6,2002,783,GasA,Ex,Y,2,3,1,2,0,183200
RL,832,AllPub,6,1954,832,GasA,Gd,Y,1,2,1,2,0,105500
RL,1828,AllPub,9,2007,1822,GasA,Ex,Y,2,3,1,3,0,314813
RL,2262,AllPub,8,2003,1482,GasA,Ex,Y,2,4,1,3,0,305000
RL,864,AllPub,3,1914,864,GasA,TA,N,1,2,1,0,0,67000
RL,2614,AllPub,6,1974,1522,GasA,TA,Y,2,4,1,2,0,240000
RL,980,AllPub,5,1977,980,GasA,TA,Y,1,3,1,2,0,135000
FV,1512,AllPub,6,2000,756,GasA,Ex,Y,2,2,1,2,0,168500
RL,1790,AllPub,6,1972,732,GasA,Gd,Y,1,4,1,2,0,165150
RL,1116,AllPub,6,1962, ,GasA,TA,Y,1,3,1,2,0,160000
RL,1422,AllPub,5,1960,978,GasA,TA,Y,1,3,1,1,0,139900
RL,1520,AllPub,6,1955,1156,GasA,Ex,Y,1,3,1,1,0,153000
RL,2080,AllPub,5,1969,1040,GasA,TA,Y,1,5,1,2,0,135000
RL,1350,AllPub,6,1964, ,GasA,TA,Y,1,3,1,2,0,168500
RM,1750,AllPub,5,1880,636,GasA,TA,Y,1,3,1,1,0,124000
RL,1554,AllPub,8,2006,1554,GasA,Ex,Y,2,2,1,2,0,209500
RL,1411,AllPub,7,1977,1386,GasA,TA,Y,2,3,1,2,0,82500
RL,1056,AllPub,5,1954,1056,GasA,TA,Y,1,3,1,1,0,139400
RL,1056,AllPub,6,1980,1056,GasA,Gd,Y,0,0,2,2,0,144000
RH,3395,AllPub,6,1914,1440,GasA,Ex,Y,2,8,2,0,0,200000
RM,800,AllPub,2,1936,264,Grav,Fa,N,1,1,1,0,0,60000
RM,1387,AllPub,5,1954,811,GasA,,Y,2,3,2,1,0,93000
RL,796,AllPub,5,1910,796,GasA,Gd,Y,1,2,1,0,0,85000
RL,1567,AllPub,8,2006,1520,GasA,Ex,Y,2,1,1,3,0,264561
RL,1518,AllPub,8,2003,1518,GasA,Ex,Y,1,1,1,2,0,274000
FV,1929,AllPub,7,2001,1057,GasA,Ex,Y,2,3,1,2,0,226000
RL,2704,AllPub,8,1972,1952,GasA,Gd,Y,2,4,1,2,0,345000
RL,1620,AllPub,5,1969,780,GasA,Ex,Y,2,4,1,2,0,152000
FV,1766,AllPub,9,2009,1766,GasA,Ex,Y,2,2,1,3,0,370878
RL,981,AllPub,6,1971,981,GasA,TA,Y,1,3,1,2,0,143250
RL,1048,AllPub,5,1950,0,GasA,Gd,Y,1,3,1,2,0,98300
RL,1094,AllPub,6,1953,1094,GasA,Ex,Y,1,3,1,2,0,155000
RL,1839,AllPub,6,1966,756,GasA,TA,Y,1,4,1,2,0,155000
RM,630,AllPub,4,1970,630,GasA,Gd,Y,1,1,1,0,0,84500
FV,1665,AllPub,7,2007,813,GasA,Ex,Y,2,3,1,2,0,205950
RL,1510,AllPub,4,1940,755,GasA,TA,Y,1,4,1,1,0,108000
RL,1716,AllPub,7,1996,880,GasA,Ex,Y,2,2,1,2,0,191000
RM,1469,AllPub,6,1906,756,GasA,Ex,Y,1,3,1,1,0,135000
RL,2113,AllPub,8,1995,2109,GasA,Ex,Y,2,2,1,3,0,350000
RM,1092,AllPub,6,1971,525,GasA,TA,Y,1,3,1,1,0,88000
RL,1053,AllPub,5,1959,1053,GasA,Ex,Y,1,3,1,1,0,145500
RL,1502,AllPub,7,1931,776,GasA,TA,Y,1,3,1,1,0,149000
RL,1458,AllPub,6,1948,912,GasA,TA,Y,1,3,1,1,0,97500
RL,1486,AllPub,5,1964,1486,GasA,Ex,Y,1,3,1,2,0,167000
RL,1935,AllPub,7,1976, ,GasA,TA,Y,2,3,1,2,0,197900
